aaab 昌明
ooioc 知人之鑒
ooiod 無人之地
ooiou 無人之境
ooiro 知之為知之
ooivi 坐失良機
ooiyr 飲店
oojav 飲宴
oojdn 俗緣未了
oojgc 無以塞責
oojhr 俠客
oojjn 任人宰割
oojmg 無足輕重
oojni 坐失事機
oojor 人足家給
oojpq 飽以老拳
oojrg 今來古往
ookew 傻人有傻福
ookho 促狹
oolll 像片
ooma 入會
ooman 貪夫殉利
oomby 似是而非
oomem 傾家破產
oomfg 坐臥不離
oomfi 知足不辱
oomfn 坐臥不寧
oomfr 知足不殆
oomfs 付之一炬
oomfu 令人不齒
oomfv 坐臥不安
oomfv 會家不忙
oomhk 付之一笑
oomjg 矮人一截
ooml 人命
oomm 入伍
oommj 僕僕亟拜
oomrb 無家可歸
oomrt 無家可奔
oomuw 個人電腦
oomwq 氣象雷達
oomy 飲下
oomyq 無從下手
oond 人傑
oond 人氣
oonlq 飯來張口茶來伸手
oono 人像
oonoi 無人飛機
oonrj 飲彈
oonro 無以名之
oonvh 舞爪張牙
oonvr 飯來張口
ooo 僕人
ooob 人倫
ooobc 傢俱
ooof 傢伙
ooofg 無家無室
ooofh 無蹤無影
ooofk 無緣無故
oooil 俄亥俄州
oooiv 飲食
ooojk 促使
oookt 做人做世
ooolp 何足介意
ooond 俠氣
ooonr 侈縱偷苟
ooopd 僵桃代李
ooopn 愈來愈多
ooopv 愈來愈濃
ooorp 知人知面不知心
oooru 無人知曉
ooovo 像似
ooovr 飲食店
oopav 飲恨
oopjy 令人心寒
ooptf 肉跳心驚
ooqqe 令人捧腹
ooqre 令人擔憂
ooquu 令人扼腕
ooqyu 無足掛齒
ooqyu 何足掛齒
oorce 令人噴飯
oorgc 任人唯賢
oorgu 任人唯親
oose 入侵
ooska 令人髮指
oosrd 仁人君子
oosvd 短歎長吁
ootay 今是昔非
ootbj 氣象萬千
ootdc 條入葉貫
ootgi 俠義
oothm 傾家蕩產
ootig 仁人義士
ootod 飲茶
ootop 令人羨慕
ootqm 像差
ootrg 知人善任
ootsg 知來藏往
ootuh 矮人觀場
ootup 侈人觀聽
ootvc 儉以養廉
oov 俠女
oovdr 人之將死其言也善
oovfi 儉約
oovgs 兵來將迎，水來土堰
oovgs 兵來將敵，水來土堰
oovgu 兵來將擋，水來土掩
oovri 保險給付
oovrp 命該如此
oowmo 無從置喙
ooybr 無人過問
ooybt 知人論世
ooycu 假以顏色
ooyga 促進會
ooygi 個人主義
ooykp 無從交代
ooynn 做人處事
ooyog 促進
ooypy 令人意外
ooyrb 促請
ooyrr 像話
ooysm 付款方式
ooyty 倚人盧下
ooyud 僕僕道途
ooyvm 傾家竭產
ooyvv 作嫁衣裳
op 人心
opabd 悠閒地
opafh 儷影
opahr 化民易俗
opain 侈麗閎衍
opanb 悠閒
opant 化開
opbd 人情味
opbeh 仁民愛物
opbkf 悠然
opbkr 傷化敗俗
opbkv 氣急敗壞
opbkv 氣急敗喪
opbq 代用
opbqe 使心用腹
opbqj 使心用倖
opbqr 代用品
opbtv 化膿
opbvm 化膿性
opc 代金
opcbb 代銷商
opcbk 繁花錦簇
opcfb 代銷
opcig 人民公社
opcir 信託公司
opdcu 人慾橫流
opdop 愈來愈
opdte 怎樣
opdui 代代相傳
opduo 代代相承
opedn 內心深處
opetb 代溝
opewr 化油器
opfcd 化糞池
opfdr 代糖
opffs 代勞
opfnd 使心彆氣
opgcp 倚老賣老
opgig 代墊
opgjr 氣忍聲吞
opgou 念起
opgpd 怎地
opgyu 化境
opha 念白
ophai 怎的
ophbb 人心向背
ophbd 化學
ophbp 像心稱意
ophdi 化學戰
ophdo 化學家
ophdr 化學品
ophfr 任憑風浪起，穩坐釣魚台
ophfr 任憑風浪起，穩坐釣魚船
ophfu 禽息鳥視
ophgg 人心皇皇
ophir 你死我活
ophjr 代管
ophkk 會心微笑
ophlb 人心所向
ophlm 無忝所生
ophlq 代筆
ophm 人性
ophma 人急生智
ophqm 怎生
ophqm 化生
ophuj 優惠稅率
ophwr 人死留名
ophxh 化身
ophxp 劍態簫心
opibp 怎能
opibp 侈恩席寵
opici 怎麼
opici 集思廣議
opict 集思廣益
opieu 斂怨求媚
opife 無能為役
opifs 無能為力
opihs 化成
opiie 怎麼樣
opiij 怎麼辦
opiiu 怎麼說
opikf 代為
opikf 化為
opiob 無心之過
opioj 無能之輩
opioo 無恥之徒
opiou 無恥之尤
opipu 代庖
opipu 怎能說
opisr 化民成俗
opjnk 餓死事小，失節事大
opkbr 念念有詞
opkku 傷心疾首
opkmf 怎奈
opks 念力
opksa 無能力者
opksr 愈加
opksv 年老力衰
opkuu 氣息奄奄
opkvf 鶴怨猿驚
oplga 念書
oplga 代書
oplvk 代數
opm 代工
opm 化工
opmbb 無德而稱
opmbu 代電
opmcw 人心不同各如其面
opmdc 人老珠黃
opmf 怎不
opmfb 人心不同
opmff 無惡不為
opmfm 矢心不二
opmfm 矢死不二
opmfn 矢志不移
opmfn 矢志不渝
opmfo 智能不足
opmfo 貪心不足
opmfp 念念不忘
opmfr 人心不古
opmfr 無惡不造
opmfs 無惡不作
opmfu 矢志不搖
opmfv 食慾不振
opmgb 代理商
opmgd 念珠
opmgg 代理
opmgg 代班
opmgn 代理行
opmgo 代理人
opmhk 會心一笑
opmjk 怎敢
opmkr 全民政治
opmr 化石
opmre 知心可腹
opmrf 代碼
opmro 貪心不足蛇吞象
opmro 人心不足蛇吞象
opmtc 念頭
opmtd 化工業
opmts 使乖弄巧
opmyp 低心下意
opnbl 傍花隨柳
opnbq 化解
opnd 化子
opnge 人心隔肚皮
opnir 化名
opniy 化外
opnld 化除
opnnb 作惡多端
opno 悠久
opnpn 仁慈隱惻
opnrr 代名詞
opo 儷人
opoan 您們
opobr 偏聽偏信
opoco 無息貸款
opofc 矢死無貳
opofe 無慮無憂
opofi 貪慾無藝
opofk 貪慾無厭
opofo 無憑無據
opofp 無思無慮
opofp 無慮無思
opofu 無怨無尤
opoga 全能全智
opogp 全心全意
opogs 全心全力
opogs 任怨任勞
opoiu 餛飩
opojk 化做
opokp 悠悠
opoln 念佛
opoma 怎會
opomc 代價
opomn 仁心仁術
opomr 化合
opoop 依心像意
opoop 像心像意
opoos 化作
opopi 悠悠的
opopo 人比人氣死人
opoqd 全民健保
oporh 化合物
oporp 知心知意
oposb 催化作用
oposj 使心作倖
opovu 人急偎親
oppac 全民皆兵
oppbd 伉儷情深
oppfp 人老心不老
oppgg 人心惶惶
oppgu 人心惟危
opphp 悠忽
opphu 傷心慘目
opppp 悠悠忽忽
opqah 悠揚
opqai 創意指導
opqar 代替品
opqb 人情
opqdt 代耕
opqmn 代打
opqmv 代表
opqoa 代替
opqsi 無心插柳柳成蔭
opqva 代表會
opqvg 代表權
opqvm 代表性
opqvo 代表隊
opqvo 代表人
opqvs 代表作
opqvw 代表團
oprgr 傾心吐膽
oprrn 念咒
oprsu 代號
opsfo 化驗
opsmv 悠長
opsog 化驗室
opspk 含悲忍淚
opsrn 人心叵測
opt 入世
opt 人世
optap 知心著意
optbj 儀態萬千
optbs 儀態萬方
optbu 傷心蒿目
optct 愈益
optgn 人心難測
opthh 悠悠蕩蕩
optja 念著
optox 念舊
optrp 焦思苦慮
optwb 億萬
opuum 入死出生
opvfm 念經
opvfo 化緣
opvgv 化裝
opvmv 化妝
opvnd 您好
opvrp 像心如意
opvvr 化妝品
opvvr 化妝台
opvvu 化妝箱
opwit 人民團體
opwpo 人心思漢
opybg 仳離
opybp 像心適意
opyds 知恥近乎勇
opygv 悠遠
opyib 化育
opyig 代議士
opyin 代議制
opyjj 代辦
opyjl 代辦所
opyjs 全能運動
opyjs 全民運動
opykn 借花獻佛
opylh 代步
opymb 怎肯
opymr 代言
opyrd 代課
opyri 代謝
opyro 代言人
opyrr 創意造言
opyuh 倍感親切
opyvh 借屍還陽
opyvi 借屍還魂
opyyd 悠遊
oq 入手
oq 人手
oqahm 舞星
oqamg 健旺
oqana 年間
oqanr 拿問
oqant 拿開
oqant 年關
oqayf 年景
oqb 年月
oqbhu 年貌
oqc 年金
oqcsh 年分
oqcst 年鑑
oqdoo 拿來
oqdoo 年來
oqegf 信筆塗鴉
oqepd 舞池
oqfdf 年糕
oqfh 年少
oqfkt 舞弊
oqgah 舞場
oqgi 拿去
oqgje 年報
oqgou 拿起
oqgrg 舞臺
oqgum 拿翹
oqguo 拿起來
oqgyo 拿走
oqhal 年節
oqhbf 休牛歸馬
oqhdm 年租
oqhdn 年利
oqhgs 舞動
oqhhs 健身房
oqhig 拿得住
oqhip 斂手待斃
oqhiu 拿得起
oqhkb 拿喬
oqhnj 年利率
oqhoe 年後
oqhon 健行
oqhup 年息
oqhxh 健身
oqhxu 健兒
oqibr 兵拏禍結
oqiea 健康醋
oqife 俸祿
oqift 年禮
oqihm 年底
oqihs 年成
oqiib 健朗
oqiil 伴郎
oqile 健康
oqilo 年庚
oqir 舞台
oqirn 舞台劇
oqisp 舞廳
oqite 年度
oqjeh 條解支劈
oqjhr 舞客
oqjjb 年輪
oqjjm 年輕
oqjka 舞者
oqjkp 年老
oqjln 年事
oqjmo 拿定
oqjmo 年輕人
oqjmp 年輕化
oqk 偉大
oqkbd 年年有餘
oqkdd 拿架子
oqkhb 舞獅
oqkhg 佯狂
oqklg 健在
oqkmc 拿大頂
oqlgm 年畫
oqlsh 年初
oqlvk 年數
oqlvk 件數
oqlyj 年輩
oqmbr 依違兩可
oqmbs 舞雩
oqmeb 拿破崙
oqmfn 拿不到
oqmfp 拿不穩
oqmfr 任達不拘
oqmgn 拿到
oqmgt 舞弄
oqmha 年曆
oqmjn 年刊
oqmma 伸手不見五指
oqmmo 年次
oqmoc 年資
oqmov 舞姿
oqmrc 健碩
oqmrq 無懈可擊
oqmtc 年頭
oqmtk 舞筆弄文
oqmy 年下
oqnlb 伴隨
oqnlv 年限
oqnms 化解阻力
oqo 偉人
oqob 年內
oqoch 年份
oqodo 假手他人
oqofq 舞伴
oqofs 無拳無勇
oqofy 無牽無掛
oqoie 年飯
oqoip 年代
oqoiv 伴食
oqoma 舞會
oqoma 年會
oqomg 健全
oqond 氧氣
oqop 氧化
oqopb 氧化銅
oqopb 氫氧化鈉
oqopc 年貨
oqopf 氧化碳
oqopf 氧化氮
oqopg 氧化鐵
oqoph 氧化物
oqoph 氫氧化物
oqopn 氧化劑
oqopr 氧化鋁
oqopr 氧化鉛
oqops 氧化鈣
oqops 氫氧化鈣
oqopu 氧化鉬
oqoq 年年
oqore 年假
oqorr 伴侶
oqotm 年僅
oqotq 伴舞
oqoyg 拿住
oqpco 矯手頓足
oqpgj 傳達心聲
oqq 拿手
oqqag 拿捏
oqqje 舞技
oqqkk 伴奏
oqqmb 年青
oqqmv 年表
oqqro 信手拈來
oqqyj 拿掉
oqraa 伴唱
oqrab 伴唱帶
oqrai 伴唱機
oqrmx 舞蹈
oqrsu 年號
oqrxf 舞蹈系
oqrxg 舞蹈社
oqrxo 舞蹈家
oqsar 飯牛屠狗
oqshu 年尾
oqsmv 年長
oqsto 斂手屏足
oqtbd 年菜
oqtbn 年前
oqtcd 偉業
oqtgi 舞藝
oqtgk 健美
oqtjg 舞鞋
oqtkf 休牛散馬
oqtmj 年華
oqtvo 修鱗養爪
oqtw 舞曲
oqtyl 年薪
oquu 拿出
oquuo 拿出來
oquuo 傳達出來
oqv 舞女
oqvdi 拿手好戲
oqvfe 年級
oqvfr 拿給
oqvfr 俸給
oqvfu 年紀
oqvfy 年終
oqvgv 佯裝
oqvhd 化解紛爭
oqvis 年幼
oqviv 伴娘
oqviv 使羊將狼
oqvmg 健壯
oqvmi 健將
oqvur 拿手絕活
oqvyv 舞孃
oqwyi 入奉母儀
oqybj 年運
oqybo 拿過來
oqybp 舞龍
oqyfd 舞迷
oqyfk 隻手遮天
oqygp 拿主意
oqyij 年率
oqyke 年夜飯
oqylb 年市
oqylh 舞步
oqylh 健步
oqymg 年產量
oqymh 年歲
oqymm 年產值
oqymr 佯言
oqymu 年齒
oqyok 年夜
oqypm 健忘症
oqyra 舞譜
oqyra 年譜
oqyrb 年高
oqyrf 健談
oqytb 年邁
oqytk 伴送
oqyui 年齡
oqyvp 健忘
or 入口
or 人口
orabd 仙露明珠
orafh 合影
oragi 何時
oragi 合時
oragu 知曉
oralo 俯拾即是
oramg 含量
oramg 估量
oramm 信誓旦旦
oran 倚門
orana 舍間
oraou 作如是觀
orarf 知照
orarf 合照
oratf 任何關係
oratr 信口開河
oratr 信口開合
oratr 信口開呵
oratv 信口開喝
orbas 飽和脂肪
orbbt 俗體
orbbt 合體
orbc 人員
orbdj 無可爭辯
orbff 知縣
orbhe 合股
orbmr 合同
orbni 含冤
orbpf 命若懸絲
orbq 信用
orbq 佔用
orbq 合用
orbqk 信用狀
orbqy 信用卡
orbrp 合膽同心
orbse 信服
orbse 伺服
orc 合金
orchv 人格分裂
orcin 貨賂公行
orcjd 缺口鑷子
orcnh 舍弟
orcwa 何曾
ordcm 倚賴性
ordfr 無可柰何
ordhe 合板
ordhr 合格
ordjk 倚杖
ordlc 倚賴
ordlc 信賴
ordm 知本
ordra 合格者
ordu 信札
ordvi 伺機
ordvm 飲谷棲丘
oreap 含混
orebe 飲河滿腹
orebn 估測
oreby 氣吞湖海
oredk 貪官汙吏
oredr 悠哉游哉
oredr 優哉游哉
oregi 知法
oregi 合法
orehk 含淚
oreim 合法性
oreip 合法化
orelw 含油
orenw 無鉛汽油
oreru 何況
oresa 含水層
oresk 貪官污吏
oreun 合流處
oreyu 合流
orfat 飲膽嘗血
orfba 何嘗
orfbb 含含糊糊
orfbq 合掌
orfdb 含糊
orfdj 飼料
orfes 人口爆炸
orffr 合營
orflj 無名小輩
orfod 無名火氣
orfwt 知名當世
orfyj 無名小卒
org 俗士
org 信士
orgca 倍增
orgdl 俛拾地芥
orgej 合聲
orgel 入吾彀中
orgen 借客報仇
orgeu 售罄
orggi 信封
orghr 含垢
orgi 佔去
orgoe 知趣
orgou 合起
orgpd 佔地
orgrc 倉頡
orgsy 兵臨城下
orgtv 何堪
orguo 合起來
orguo 集合起來
orgvr 儽如喪狗
orgwc 售賣
orhaf 信鳥
orhag 倉皇
orhbr 信筒
orhbt 估算
orhbt 合算
orhbu 知覺
orhcr 信譽
orhdb 俗稱
orhdg 何種
orhdn 舍利
orhdp 知悉
orhdu 信箱
orhfd 合乎
orhgi 何等
orhgy 倚靠
orhhc 何須
orhhk 含笑
orhib 信得過
orhii 信箋
orhij 你追我趕
orhio 合得來
orhjg 倚重
orhlq 信筆
orhnd 舍利子
orhni 信風
orhni 仁言利博
orhni 仁言利溥
orhnm 保加利亞
orhnm 人造衛星
orhno 傾柯衛足
orhnr 伽利略
orhod 無容身之地
orhoo 信從
orhoo 信徒
orhqh 俗物
orhqh 信物
orhsv 飲河鼴鼠
orhup 信息
orhxh 合身
oribp 知能
orifr 人言為信
orift 知禮
orihs 合成
orijj 倉庫
orikd 無可救藥
orikf 合為
orimm 伊何底止
orioa 儋石之儲
oriob 俟河之清
oriob 無名之師
oriof 無如之奈
oriog 知名之士
orioi 知府
orioo 無名之樸
orioo 無名之璞
orior 無如之何
oripm 合式
orisc 內閣成員
orish 合成物
orite 合度
oriyd 倉廩
orj 合十
orjbm 合宜
orjbu 信口胡謅
orjdi 信守
orjdw 氣吞宇宙
orjkb 人格教育
orjln 俗事
orjln 知事
orjln 何事
orjmo 俗家
orjmo 合家
orjnd 俗字
orjoa 信宿
orjoo 人給家足
orjrk 何故
orjue 人口密度
orjwc 信實
ork 偌大
orkar 矢口猖言
orkb 含有
orkb 佔有
orkbb 使君有婦
orkbl 無何有鄉
orkbp 人各有志
orke 知友
orkfr 無可奈何
orkfr 無如奈何
orkhj 倉猝
orkhn 貨賂大行
orklg 何在
orkol 無何有之鄉
orkri 無可奈何花落去
orkru 今古奇觀
orks 合力
orksi 俗套
orksr 倍加
orlk 信史
orllr 隻言片語
orlmu 氣吞虹蜺
orloo 人善被人欺
orlpp 佛口蛇心
orlvk 倍數
orlvk 合數
orlyi 無可非議
ormbu 食言而肥
ormby 矢如雨下
ormc 人跡
ormdy 無可厚非
ormf 何不
ormfb 信不過
ormfb 無奇不有
ormfc 售票員
ormfc 知名不具
ormff 無話不談
ormfn 售票處
ormfn 售票亭
ormfn 矢口不移
ormfp 食古不化
ormfr 無可不可
ormft 無信不立
ormfu 無話不說
ormgg 合理
ormgn 佔到
ormgp 合理化
ormgy 何至於
ormhm 無官一身輕
ormj 何干
ormjk 何敢
ormjr 矯俗干名
ormk 倚天
ormkf 知更鳥
ormmm 作古正經
ormnp 劍膽琴心
ormoc 合資
ormom 舞裙歌扇
ormrb 無話可講
ormro 無路可走
ormrp 矢口否認
ormrv 人言可畏
ormtf 含飴弄孫
ormtu 舞詞弄札
ormvq 位居要津
ormwe 含酸
ormwf 售票
ormy 舍下
ornd 館子
ornhs 俗務
ornin 偌多
ornir 俗名
ornir 知名
ornlf 伺隙
ornlh 信陽
ornn 知了
ornqq 作善降祥
ornre 知名度
ornrk 無可名狀
orntm 入閣登壇
oro 俗人
oro 舍人
oro 知人
orocc 售貨員
orocj 佔領軍
orocj 估價單
orocs 佔領區
orodt 人格保證
orodu 合氣道
orof 合伙
orofi 無拘無縛
orofl 無拘無束
orofo 傍若無人
orofo 無拘無礙
orofr 無咎無譽
orofy 無倚無靠
orogd 信任案
orogk 倨傲
orogy 全始全終
orohg 信任
orohl 信仰
orohq 信件
oroic 佔領
oroie 仰拾俯取
oroip 俗念
oroip 信念
orojk 館使
orojk 倚仗
orojk 信使
orokm 佔便宜
orokp 佛洛伊德
oroks 倚官仗勢
orold 信條
orole 俛拾仰取
orolk 伺候
orolv 佝僂
oroma 知會
oromc 售價
oromc 估價
oromk 伺便
oroml 知命
oromn 俗例
oromr 館舍
oromu 休管他人瓦上霜
orond 俗氣
oroos 合作
orop 俗化
oropc 售貨
oropr 悠哉悠哉
oroqg 含氧量
ororf 信鴿
ororo 倉促
orosa 拿糖作醋
orosg 合作社
orosj 化若偃草
orott 合併
orour 何仙姑
orovp 佛洛依德
oroya 倉儲
oroyg 佔住
oroyg 合住
oroyt 佔位
orp 信心
orp 知心
orpao 俯拾皆是
orpav 含恨
orpb 人民幣
orpgi 倚恃
orph 何必
orphm 知性
orppb 無可比倫
orppo 無可比象
orppo 無可比擬
orpqb 知情
orpqb 含情
orpqb 合情
orpug 含垢包羞
orpyr 知心話
orq 信手
orqkk 合奏
orqkq 信奉
orqoc 任君挑選
orqos 倚官挾勢
orqpm 假名托姓
orqpu 合抱
orqrd 人格擔保
orquf 飴含抱孫
orqup 飾垢掩疵
orqur 傷言扎語
orquw 無可挽回
orqyo 佔據
orqyp 合攏
orraa 合唱
orrao 合唱隊
orraw 合唱團
orrbc 館員
orrcc 人言嘖嘖
orrmk 含宮咀徵
orrr 人品
orrrj 估單
orrsu 信號
orruj 信號彈
orrur 信號台
orrut 信號燈
orryo 知足
orsdj 假譽馳聲
orser 依阿取容
orser 偷合取容
orsfl 人喊馬嘶
orsji 合璧
orsjp 知恥
orskm 內閣改組
orsmt 舍監
orsmv 館長
orspi 含垢忍辱
orspp 含垢忍恥
orsps 含垢忍污
orsre 含垢匿瑕
orsrn 雙喜臨門
orsrq 合群
orsu 知己
ortbn 館前
ortgi 信義
ortgi 含義
ortgj 含羞草
ortgo 合歡
ortit 無言對泣
ortjr 何苦
ortkg 無名英雄
ortmt 合葬
ortou 合歡山
ortov 飼養
ortpu 含苞
ortqg 含羞
ortqm 信差
ortrr 偷合苟容
ortse 含垢藏瑕
ortsk 含垢藏疾
ortst 伽藍
ortuf 何首烏
ortvt 含蘊
ortyw 含蓄
oruer 氣吞山河
orune 信函
orutu 俗艷
oruu 售出
orv 信女
orvbd 含垢納汙
orvbs 含垢納污
orvep 含怒
orvfi 合約
orvfm 合組
orvfo 俗緣
orvfo 合縱
orvfp 信紙
orvha 合婚
orvid 俗樂
orvio 何以
orvkp 飽和狀態
orvmg 人造纖維
orvnd 合好
orvoi 無言以對
orvp 人民
orvr 何如
orvrk 食古如鯁
orvrp 儘管如此
orvrr 無可如何
orvys 何妨
orwdn 合夥
orwlo 合眾
orwmj 無可置辯
orwmo 無可置疑
orwmo 無可置喙
orwog 合眾社
orwow 合眾國
orwvf 俗累
oryab 知識論
orybb 知過
orybd 債台高築
orybg 倚望
orybn 人口過剩
oryck 知交
oryde 含垢棄瑕
orydu 舍親
orydv 何呂施張
oryg 飼主
orygc 信口雌黃
oryhs 何方
oryhv 估衣
oryij 倍率
oryin 合議制
oryjj 合辦
oryjo 何許人
oryk 信文
oryka 偽造文書
orykd 俗文學
orykq 鶴知夜半
orylh 信步
orylm 知止
orylm 何止
orymn 佔上風
orynm 合訂本
orynn 借古諷今
oryoj 倉卒
orypn 何處
oryps 信託局
oryqr 無可諱言
oryra 知識
oryra 合諧
oryrb 何謂
oryrb 合調
oryrh 俗諺
oryrj 估計
oryrj 合計
oryro 合該
oryrp 信託
oryrp 命詞遣意
oryrr 俗語
oryrr 俗話
oryrr 作言造語
oryru 俗語說
oryru 俗話說
orysy 合於
oryta 知音
oryta 合音
orytp 含意
orytp 何意
orytp 合意
orytu 知道
oryue 會晤親友
oryus 作捨道邊
oryvs 無知妄作
orywb 知遇
oryxy 雙管齊下
oryyb 合適
osabu 仿冒
osamo 仍是
osans 倚傍門戶
osanu 傍晚
osarf 仿照
osaur 仿冒品
osb 偃月
osbbu 作亂
osbee 無功受祿
osbkf 乍然
osbkf 仍然
osbnd 作月子
osbq 作用
osbrp 矢力同心
osbuu 乍見
oscij 合作金庫
osdgi 貪贓枉法
osdmk 作梗
osdw 作東
osdxu 斂鍔韜光
oseca 貪污瀆職
osegi 作法
oseno 智力測驗
osert 舒筋活血
oseuu 氣勢洶洶
osfdj 作料
osfg 人馬座
osfkt 作弊
osfsk 優勝劣敗
osgej 作聲
osgis 作勢
osguh 貪功起釁
osgvi 貪贓壞法
osgys 作坊
oshca 僑務委員會
oshch 雙邊貿易
oshcr 雋譽
oshds 作秀
oshei 全力反對
oshmp 作生意
oshni 作風
oshnv 仿製
oshor 作答
oshqh 作物
oshqu 乍看
oshqu 作筆記
oshsb 傷筋動骨
oshuo 乍看來
oshup 作息
oshvr 仿製品
osibp 貪污腐化
osieo 氣勢凌人
osifk 無動為大
osihs 作成
osikf 作為
osine 雋永
osine 作廢
osiop 無方之民
osipp 作態
osj 入耳
osjdt 仿宋體
osjhr 作客
osjka 作者
osjln 作事
osjmo 作家
osjr 作古
osjr 仿古
osjrc 優秀官兵
osjso 雙邊協定
osjvd 作案
oskb 仍有
oskbd 創鉅痛深
oskbd 創巨痛深
oskbs 創巨痛仍
oskbs 創鉅痛仍
oskeg 智藏瘝在
oskfi 氣功療法
oslgm 作畫
osll 人臣
osllh 鶴勢螂形
osltd 全功盡棄
osm 作工
osmbe 無功而祿
osmcf 人力資源
osmee 無功不受祿
osmgn 作到
osmgt 作弄
osmgu 乍現
osmju 兵藏武庫，馬入華山
osmkb 使功不如使過
osmmc 年方二八
osmmp 作惡
osmrc 餘勇可賈
osmsa 無巧不成書
osmsr 無巧不成話
osmth 矩形
osmur 集成電路
osnau 作色
osnev 全力發展
osnin 作多
osnlj 矩陣
osnlr 作陪
osnlv 侷限
osnnp 伐功矜能
osnof 伯勞飛燕
oso 作人
osobk 俏成俏敗
osoce 人贓俱獲
osocs 倒篋傾筐
osocv 倒篋傾囊
osocw 傾城傾國
osoeg 智勇雙全
osofa 合作無間
osoff 無邊無際
osofo 無邊無礙
osofq 作伴
osofr 年幼無知
osofr 無邊無沿
osofv 無邊無垠
osogp 任勞任怨
osoif 作偽
osoii 飭令
osoj 傍午
osoks 矢勤矢勇
osoln 仿佛
osolv 傴僂
osomc 作價
osone 傾筐倒庋
osons 傾筐倒篋
osord 作保
osore 作假
osoro 侷促
osorq 飭拿
ospeg 作怪
osqbl 作手腳
osqf 人馬
osqik 雋拔
osqrj 作揖
osrji 作戰
osrln 饑驅叩門
osrmi 作踐
osrq 人群
osrrj 仿單
osrrr 作品
osrsr 作嘔
ossgp 乍聽
osslo 偃臥
osso 矩尺
ostcb 智勇兼備
ostcd 作業
ostce 人贓並獲
ostcg 智勇兼全
ostdc 作業員
ostdi 作業簿
ostgi 作對
ostgu 傍觀
ostjd 作孽
ostoo 仗勢欺人
ostox 仍舊
ostvg 作莊
ostw 作曲
ostwn 作夢
ostwo 作曲家
osuu 作出
osuuf 作祟
osvdr 合成樂器
osvid 作樂
osvjo 作嫁
osvla 作響
osvmg 合成纖維
osvnd 作好
osvoy 全力以赴
osvru 氣湧如山
oswfh 俗務羈身
oswlp 作罷
oswrw 作圖
osyg 作主
osyhr 仿造
osyhs 傍邊
osyjn 貨櫃運輸
osyk 作文
osykj 作文章
osykk 仿效
osylh 矩步
osyri 作詩
osyrr 作詞
osyrt 作證
osyyl 無動於中
osyyn 食方於前
osyyo 假力於人
osyyv 無動於衷
otaia 短時間
otaib 短時期
otaip 全盛時代
otamg 儘量
otamo 儘是
otbcl 短腳
otbgq 鶴立雞群
otbuu 短見
otbyv 短腿
otcj 短針
otcod 無立錐之地
otdmf 位標
oteco 含血潠人
otede 短波
oteii 短淺
otf 短小
otfh 短少
otgym 位址
othaa 短簡
othdg 短程
othdj 併科
othdn 位移
othgu 儘先
othhb 短篇
othjr 儘管
othlw 短笛
othmg 坐戒垂堂
othnv 鶴短鳧長
otibp 位能
otifm 合併為一
otifu 短視
otikf 併為
otipf 智盡能索
otjen 食甘寢寧
otjev 食甘寢安
otjia 無關宏旨
otjjn 餅乾
otjla 短暫
otjsp 全盤考慮
otjuk 坐井窺天
otjvd 併案
otjvg 集體安全
otkbt 無關大體
otkbv 無關痛癢
otkmb 傾盆大雨
otks 儘力
otksd 使盡力氣
otkss 無關大局
otkyv 短大衣
otlij 短褲
otllw 短袖
otlnw 雙柑鬥酒
otlsr 短裙
otlti 短襪
otlvk 位數
otm 短工
otmbr 矯世厲俗
otmfg 焦孟不離
otmfn 短不了
otmfv 坐立不安
otmhc 傳世珍寶
otmj 餅干
otmkr 併吞
otmkt 人算不如天算
otmmu 位元
otmnn 併列
otmrj 飲泣吞聲
otmro 全盤否定
otmro 人盡可夫
otmsr 矯世勵俗
otmum 位元組
otnd 盒子
otnd 位子
otnem 併發症
otnla 位階
otnoe 併發
oto 併入
otode 集體休假
otofd 無盡無休
otofn 無盡無窮
otomc 短兵
otoml 短命
otomr 併合
otond 短氣
otons 集體創作
otoro 短促
otorp 全體人民
otouk 短缺
otpdk 儘快
otpr 短句
otqie 保盈持泰
otqly 併排
otqmn 短打
otqpu 全盤托出
otqpu 合盤托出
otqyp 併攏
otrco 含血噴人
otrco 含血噀人
otrmr 短路
otrmu 短跑
otrod 無立足之地
otrsg 短距離
otsfv 無關緊要
otsh 短刀
otshk 短髮
otsjr 位居
otsmv 短長
ottcb 短期
ottch 人盡其才
ottpe 貪位慕祿
ottqm 位差
ottru 飲血茹毛
ottuk 坐井觀天
otubp 飲血崩心
otvfe 短線
otvfu 短絀
otvgv 短裝
otvgv 盒裝
otvkr 矯世變俗
otwlm 位置
otwmo 全體國人
otwn 入夢
otybc 集體請願
otydl 儘速
otyk 短文
otykg 舞弄文墨
otyon 短劇
otypn 短處
otyri 短詩
otyrj 短評
otyrj 短訊
otyrr 短語
otysn 氣血方剛
otysy 位於
otyvi 優孟衣冠
otyyi 集體訴訟
ouabe 飽暖
ouarf 入境問禁
ouarf 入竟問禁
ouarr 入境問俗
ouarr 侃侃誾誾
oubbd 肉山脯林
oubbe 飽受
oubrj 俯首貼耳
oubrj 伏首貼耳
ouby 仙丹
oucas 偭規錯矩
oucim 仙翁
ouck 岳父
oudfh 像齒焚身
oudlo 仙桃
oudvr 仙山樓閣
ouehk 饒沃
ouemr 饒河
